Manufacturer	Model	Type	Status	Size [in]	Re [ohm]	fs [Hz]	Qms	Qes	Qts	Rms [Ns/m]	Mms [g]	Cms [mm/N]	Vas [l]	Sd [cm2]	BL [Tm]	Pmax [W]	Xmax [mm]	Beta	Z1k [ohm]	Z10k [ohm]	Le [mH]	Leb [mH]	Ke [sH]	Rss [ohm]	USPL [dB]	BL²/Re	Revision	Updated
AE Speakers	Dipole15	S		15	12.3	21.7	15.2	1	0.94	0.81	90	0.7	623	855	12.2	200	12	0			0.15				88.2	12.1		
AE Speakers	TD15H	S		15	6.5	21	4.23	0.27	0.26	4	129	0.45	467	855	20.1	500	14				0.3				94.9	62.16		
AE Speakers	TD15M			15	6.6	34.7	5.09	0.35	0.33	3	70	0.3	312	855	17	500	6				0.2				98.5	43.79		
AE Speakers	TD15S	S		15	5.3	22.8	3.87	0.41	0.37	4	108	0.45	467	855	14.1	500	14	0			0.3				95.1	37.51		
AE Speakers	TD15X	S		15	5.6	23.2	3.82	0.31	0.28	4	105	0.45	467	855	16.7	500	14	0			0.3				96.3	49.8		
ASE	18WN225-08				5.7	47	2.8	0.42	0.37	1.385	13.1	0.873	25	143	7.26	60	3		8	18					91.4	9.25		2017-07-01/Data import
ASE	M21WO39-08				5.5	28	1.97	0.35	0.3	2.125	23.8	1.358	105	235	8.11	80	6		12	30					91.8	11.96		2017-07-01/Data import
ASE	MG18WJ09-08				5.6	49	7.58	0.46	0.43	0.563	13.9	0.761	20	137	7.21	60	4.2		8	18					90.6	9.28		2017-07-01/Data import
ASE	XW18 325-8				5.8	40	5.87	0.39	0.37	0.451	10.5	1.502	35	129	6.28	60	4.5		8	18					91	6.8		2017-07-01/Data import
Atomic	1050			10	3.7	32.9	2.82	0.46	0.4	3.17	43.3	0.54	68.1	300	8.46	250	2.75				1.08				92.6	19.34		
Atomic	1094			10	3.9	34.2	2.88	0.6	0.5	4.46	59.8	0.36	45.6	300	9.11	400	5.25				1.19				89.9	21.28		
Atomic	1250			12	3.7	27.1	2.63	0.47	0.4	4.05	62.6	0.55	215	528	9.13	250	3.5				1.9				94.9	22.53		
Atomic	1294			12	3.2	31	7.76	0.34	0.33	1.96	78	0.34	132	528	11.96	400	3.5				1.89				96.6	44.7		
Atomic	1550			15	3.4	32.4	2.78	0.5	0.42	6.31	86.1	0.28	317	900	10.92	250	3.5				1.01				99.1	35.07		
Atomic	1595			15	3.2	29.6	4.4	0.72	0.62	4.37	103.5	0.28	317	900	9.26	400	3.5				1.53				96.6	26.8		
Atomic	630			6.5	3.6	38.2	4.73	0.4	0.37	0.81	16	1.1	23.7	125	5.88	60	4				1				90.7	9.6		
Atomic	850			8	3.6	32.1	1.8	0.24	0.21	3.54	31.6	0.78	52.6	220	9.8	100	3	0			1				94.1	26.68		
Atomic	894			8	3.4	26.5	1.94	0.25	0.22	3.77	43.9	0.82	55.7	220	9.93	200	3				0.98				91.9	29		
Audax	AM210G0				5.8	28	3.2	0.29	0.27	1.19	21.6	1.492	103	222	8.73	100	4.5		10	38					92.3	13.14		2017-07-01/Data import
Audax	AT080M0	M		3	6.1	80.6	2.23	0.97	0.68	0.58	2.55	1.5	1.8	29	2.85	20	1.5				0.26				83.1	1.33		
Audax	AT100M0	M		4	5.7	64.7	2.36	0.62	0.49	0.86	5	1.2	4.41	51	4.32	30	3				0.3				86.3	3.27		
Audax	BMH 405	W		6.5	6.7	30.5	3.75	0.35	0.32	0.83	16.26	1.7	35	122	7.74	30	3.5				0.64				87.3	8.94		
Audax	BMH 406	W		8	6.9	26.6	3.52	0.39	0.35	1.16	24.4	1.5	82	200	8.5	40	3.5				0.85				88.6	10.47		
Audax	HD38S100				5.5	15	4.39	0.13	0.13	2.495	116.2	0.969	980	850	21.53	200	4		10	40					97.7	84.28		2017-07-01/Data import
Audax	HD38S100_strong				5.5	15	4.39	0.13	0.13	2.495	116.2	0.969	980	850	21.53	200	4		10	40					97.7	84.28		2017-07-01/Data import
Audax	HM100X2	M		4	5.2	233.3	4.41	0.6	0.53	0.9	2.71	0.17	0.65	52	5.85	40	0.4				0.35				95.3	6.58		
Audax	HM100Z0	M		4	6.4	213.7	3.65	0.97	0.77	0.92	2.5	0.22	0.84	52	4.7	40	1.25				0.19				92.2	3.45		
Audax	HM130C0				6.2	58	4	0.3	0.28	0.584	6.4	1.174	10	78	6.95	60	2.1		8	23					91.2	7.79		2017-07-01/Data import
Audax	HM130G0			5	6.2	41	3.27	0.25	0.23	0.52	6.6	2.3	23.1	85	6.47	50	2.3				0.39				91.1	6.75		
Audax	HM130Z0			5	6.4	68.1	12.02	0.32	0.31	0.21	5.9	0.93	8.3	80	7.1	50	2				0.22				92.1	7.88		
Audax	HM130Z10				6.2	58	4	0.3	0.28	0.584	6.4	1.174	10	78	6.95	60	2.1		8	23					91.2	7.79		2017-07-01/Data import
Audax	HM130Z12				6.1	50	4.1	0.41	0.37	0.551	7.2	1.408	12	78	5.8	60	3		9	28					88.8	5.51		2017-07-01/Data import
Audax	HM170G0	W		6.5	6.6	42.1	7.87	0.38	0.36	0.4	11.9	1.2	32.5	139	7.4	60	3				0.41				90.9	8.3		
Audax	HM170MN0				6.4	40	8.1	0.37	0.35	0.303	9.8	1.619	36	126	6.52	80	3.5		8	26					90.9	6.64		2017-07-01/Data import
Audax	HM170X2	W		6.5	6	46.4	10.75	0.46	0.44	0.29	10.7	1.1	29.8	139	6.4	70	3.25				0.31				91.4	6.83		
Audax	HM170Z0	W		6.5	6.2	38.8	6.03	0.42	0.39	0.4	9.9	1.7	45.3	138	6	60	3.75				0.34				91.1	5.81		
Audax	HM170Z18	W		6.5	6.1	37.7	4.56	0.34	0.31	0.62	12	1.5	33	126	7.17		3.3		8	26					90.3	8.43		
Audax	HM210C0				6.3	28	8.5	0.29	0.28	0.462	22.3	1.449	100	222	9.23	100	4.5		10	37					91.8	13.52		2017-07-01/Data import
Audax	HM210G0	W		8	6.4	30.2	2.72	0.37	0.32	1.26	18.1	1.5	116	232	7.75	70	4.15				0.58				92.3	9.38		
Audax	HM210K0	W		8	6.2	28.3	1.78	0.37	0.31	2.06	20.6	1.5	108	224	7.8	70	4.5				0.61				91.3	9.81		
Audax	HM210X0	W		8	6.4	29.7	8.69	0.26	0.25	0.58	27	1.1	80	232	11.23	70	4.15				0.66				92	19.71		
Audax	HM210Z0	W		8	6.3	28.8	6.43	0.4	0.38	0.59	21	1.5	108	230	7.7	70	4.25				0.47				91.1	9.41		
Audax	HT080M0	M		3	5.9	79.2	2.44	0.78	0.59	0.51	2.5	1.6	1.9	29	3.07	20	1.5				0.21				84.2	1.6		
Audax	HT100K0	M		4	5.9	57	2.11	0.47	0.39	0.89	5.23	1.5	5.21	50	4.83	30	3				0.34				86.4	3.95		
Audax	HT130F0			5	6.5	47.1	1.97	0.28	0.24	1.56	10.4	1.1	11.1	85	8.5	40	2.5				0.39				89.1	11.12		
Audax	HT130K0			5	6.5	43.6	1.7	0.29	0.25	1.22	7.57	1.8	17.8	85	6.8	40	2.5				0.14				90	7.11		
Audax	HT170K0	W		6.5	6.7	47.6	2.14	0.52	0.42	1.86	13.3	0.84	23.1	140	7.13	50	2.5				0.25				89.6	7.59		
Audax	HT170ST2				6.3	44	5.3	0.29	0.27	0.617	11.8	1.107	27	132	8.43	60	3.1		11	37					92	11.28		2017-07-01/Data import
Audax	HT210M2	W		8	6.3	38.1	1.81	0.48	0.38	2	15.1	1.2	103	252	6.9	80	4.5				0.51				93.8	7.56		
Audax	HT240G4				3	28	11.8	0.31	0.3	1.057	70.9	0.456	67	324	10.99	200	8		11	49					93	40.26		2017-07-01/Data import
Audax	HT240M0			10	6.3	28.3	1.83	0.47	0.37	2.23	23	1.4	223	340	7.41	80	4.5				0.6				93.4	8.72		
Audax	LFH 506			12	5.2	15.9	1.62	0.26	0.22	3.43	55.45	1.8	708	530	10.6	90	4.5				0.84				94.3	21.61		
Audax	LFH 508			12	5.2	29.9	2.75	0.3	0.27	2.81	41.15	0.69	232	491	11.5	120	2.5				0.6				97	25.43		
Audax	LFP 502			12	5.8	22.8	2.17	0.25	0.22	4.74	71.9	0.68	267	530	15.6	150	3.5				1.28				94.4	41.96		
Audax	PR170M0				6.2	125	2.7	0.47	0.4	1.963	6.7	0.24	6.5	139	8.36	200	0.5		8	18					97.4	11.27		2017-07-01/Data import
Audax	PR17HR100 Hifisound				6.3	150	4.22	0.57	0.5	1.258	5.6	0.2	6.3	150	7.66	100	1		8	13					98.8	9.31		2017-07-01/Data import
Audax	PR240M0				6.1	32	6.13	0.58	0.53	0.783	23.9	1.036	188	360	7.11	100	4		9	27					93.4	8.29		2017-07-01/Data import
Audax	PR240M0_rev				6.2	34	2.62	0.45	0.38	2.748	33.7	0.65	118	360	9.96	100	4		9	27					93.2	16		2017-07-01/Data import
Audax	PR240M6				5.5	25	2.5	0.29	0.26	2.233	35.5	1.141	207	360	10.29	120	4		9	27					94.1	19.25		2017-07-01/Data import
Audax	PR240T4				6.2	30	3.9	0.11	0.11	1.198	24.8	1.135	206	360	16.23	250	3		11	43					100.1	42.49		2017-07-01/Data import
Audax	PR240Z2				3.2	25	8.1	0.27	0.26	1.136	58.6	0.692	112	340	10.44	120	5		9	42					94.1	34.06		2017-07-01/Data import
Audax	PR300M0			12	5.7	17	3.52	0.28	0.26	1	33	2.7	1012	521	8.4	100	4.4				0.42				96	12.38		
Audax	PR330M0				6	26	6.1	0.21	0.2	1.956	73	0.513	208	538	18.46	250	4		11	50					95.7	56.8		2017-07-01/Data import
Audax	PR380M0			15	6.1	18.8	4.83	0.22	0.21	2.81	115	0.63	710	900	19.2	150	3.8				0.74				96.5	60.43		
Audax	PR380M2			15	5.8	23.7	1.39	0.18	0.16	14.6	136	0.33	376	900	25.8	350	5.5		13	60	0.75				97.8	114.77		
Audax	PR380T0			15	6	52.3	4.12	0.76	0.64	6.33	79.5	0.12	130	892	14.4	150	4.15				0.65				97.1	34.56		
Audax	TX11X25RSN Hifisound				5.9	160	2.6	0.56	0.46	1.696	4.4	0.226	1.1	59	6.82	60	4		8	18					92.4	7.88		2017-07-01/Data import
Audes	40W65-8	W		6.5	6.4	34	2.7	0.48	0.41	1.98	25.05	0.87	24	140	7.6	75	4								85.9	9.02		
Audes	70W81-8	W		8	6.2	32	2.7	0.49	0.41	2.54	34.15	0.72	56	235	8.2	100	4								88.8	10.85		
Audes	75W102-8			10	6.2	36.3	3.67	0.62	0.53	2.58	41.55	0.46	75	340	9.7	130	4.5								90.7	15.18		
Audes	75W82-8	W		8	6.2	35.2	2.18	0.51	0.41	3.55	35.04	0.58	45	235	9.7	130	4.5								89	15.18		
Audes	75W83-8	W		8	6.2	35	2.2	0.42	0.35	3.55	35.53	0.58	45	235	9.7	130	4.5								89.7	15.18		
Audio Nirvana	Super 10			10	7.2	32	3.78	0.3	0.28	0.9	17	1.3	238.8	359	9.06										96.6	11.4		
Audio Nirvana	Super 12			12	7.2	37.4	28.57	0.61	0.56	0.23	28.57	0.49	230.5	580	8.87										95.4	10.93		
Audio Technology	Flexunits 10 A 77 25 10			10	5.4	25	2.32	0.29	0.26	2.92	43.07	0.94	140	326	11.17	200	4.3				0.76				92.5	23.11		
Audio Technology	Flexunits 12 B 77 25 10			12	5.4	25	2.5	0.34	0.3	3.78	60.2	0.67	250	515	12.24	250	4.3				0.76				94.3	27.74		
Audio Technology	Flexunits 4 H 52 06 13	M		4	5.3	41	1.45	0.36	0.29	1.5	8.45	1.8	23	96	5.66	120	2				0.36				90.2	6.04		
Audio Technology	Flexunits 5 H 52 15 06 SD			5	5.6	40	1.8	0.39	0.32	2.04	14.6	1.1	28.5	137	7.26	150	2.6				0.13				90.2	9.41		
Audio Technology	Flexunits 6 H 52 17 06 SD	W		6	5.5	32	1.76	0.33	0.28	1.84	16.13	1.5	65	174	7.35	160	3.25				0.13				91.7	9.82		
Audio Technology	Flexunits 8 I 52 20 08 SD	W		8	6	33	1.85	0.3	0.26	2.64	23.5	1	70	225	9.96	180	4				0.2				92.5	16.53		
AuraSound	NRT18-8				5.3	24	5.5	0.26	0.25	5.548	202.3	0.217	468	1240	24.94	800	12.5		22.3	39.6					97.7	117.36		2017-07-01/Data import
AuraSound	NS10-513-4A				3.16	25.8	5.4	0.29	0.28	2.893	96.4	0.395	66.2	346	13.05	200	10		8.6	16.7					92	53.89		2017-07-01/Data import
AuraSound	NS10-794-4A				3.46	30	4.2	0.31	0.29	4.678	104.2	0.27	38	317	14.81	400	11.5		7.93	14.1					90.8	63.39		2017-07-01/Data import
AuraSound	NS12-513-4A				2.86	21.3	7.9	0.38	0.36	2.305	136.1	0.41	145.4	503	11.71	200	10		8.2	16.1					92.1	47.95		2017-07-01/Data import
AuraSound	NS12-794-4A				3.2	23.8	5.8	0.51	0.47	4.787	185.7	0.241	80	487	13.2	400	11.5		8	14.2					89.2	54.45		2017-07-01/Data import
AuraSound	NS18-992-4A				3	18.2	7.9	0.54	0.51	6.035	417	0.183	348	1164	16.28	800	12.5		10.11	38.63					92.2	88.35		2017-07-01/Data import
AuraSound	NS3-193-8A				7.4	73	6.6	0.73	0.66	0.278	4	1.189	1.6	31	4.31	50	3.1		10.34	34.84					81.6	2.51		2017-07-01/Data import
AuraSound	NSF8-495-4A				2.65	38	5.5	0.31	0.29	2.678	61.7	0.284	15.3	196	11.22	100	3.5		11.6	47.7					91.1	47.51		2017-07-01/Data import
AuraSound	NSF8-495-8B				6	42	5.5	0.49	0.45	2.206	46	0.312	16.8	196	12.19	100	6		17	67					87.3	24.77		2017-07-01/Data import
AuraSound	NSW1-205-8A				6.1	182	2.3	1	0.7	0.25	0.5	1.52	0.06	5.31	1.87	20	1.5		6.5	9.4					78.8	0.57		2017-07-01/Data import
AuraSound	NSW2-326-8AT				6.1	188	6.5	0.9	0.79	0.199	1.1	0.656	0.16	13.2	2.96	30	1.8		6.8	13.1					83.9	1.44		2017-07-01/Data import
B&C Speakers	10CL51	W	Active	10	5.2	60	3.8	0.44	0.39	3.23	32	0.216	31	320	12	150	6				0.8				95.7	27.69		2016-03-01/Datasheet Import
B&C Speakers	10FW64	W	Active	10	5	63	3.4	0.25	0.23	3.95	34	0.188	27	320	16.4	250	5				0.9				98.4	53.79		2016-03-01/Datasheet Import
B&C Speakers	10HPL64	W	Active	10	5.4	61	4.5	0.33	0.31	2.6	29	0.223	32	320	15	200	4				0.5				97.1	41.67		2016-03-01/Datasheet Import
B&C Speakers	10MD26	W	Active	10	5.8	76	4.8	0.22	0.21	3.14	31	0.139	20	320	19.6	350	1.5				1.2				99.4	66.23		2016-03-01/Datasheet Import
B&C Speakers	10NDL64	W	Active	10	5.7	56	3.4	0.29	0.26	3.87	37	0.216	31	320	16.2	250	6				0.9				96.2	46.04		2016-03-01/Datasheet Import
B&C Speakers	10NW64	W	Active	10	5.2	50	4.5	0.27	0.26	3.7	47	0.191	27.5	320	17.5	300	8				0.47				94.9	58.89		2016-03-01/Datasheet Import
B&C Speakers	12BG100	W	Active	12	5.1	39	6.8	0.35	0.33	5.61	152	0.107	41	522	23	1000	10.5				1.6				92.4	103.73		2016-03-01/Datasheet Import
B&C Speakers	12CL64	W	Active	12	5.5	52	4.3	0.32	0.3	4.26	55	0.167	64	522	17.5	250	4.5				1.1				98.1	55.68		2016-03-01/Datasheet Import
B&C Speakers	12CL76	W	Active	12	5.2	48	4.8	0.22	0.21	4.49	70	0.154	59	522	22.4	350	6				1.5				98.6	96.49		2016-03-01/Datasheet Import
B&C Speakers	12CXN76	W	Active	12	5	42	8	0.2	0.19	1.52	47	0.3117	120	522	17.6	350	4	0			0.8				100.5	61.95		2022-11-08/Janne Panu
B&C Speakers	12FCX76	W	Active	12	5.3	47	11	0.35	0.34	1.445	54	0.213	82	522	15.6	350	6.5	0			1.3				97.6	45.92		2022-11-08/Janne Panu
B&C Speakers	12FW64	W	Active	12	5.2	55	3.5	0.32	0.29	4.95	47	0.167	64	522	15.5	250	5				1				99.1	46.2		2016-03-01/Datasheet Import
B&C Speakers	12FW76	W	Active	12	5.1	54	3.8	0.18	0.18	6.57	75	0.118	45	522	26.4	500	7				1.4				99.9	136.66		2016-03-01/Datasheet Import
B&C Speakers	12HPL76				5.7	49	2.5	0.26	0.24	5.448	44.2	0.238	91	522	17.28	700	4		8	8					99.6	52.39		2017-07-01/Data import
B&C Speakers	12MH32	W	Active	12	5.2	53	7.2	0.2	0.19	2.53	54	0.165	63	522	22.3	400	5				0.83				100.6	95.63		2016-03-01/Datasheet Import
B&C Speakers	12NBX100	W	Active	12	5.1	41	3.9	0.24	0.22	7.72	117	0.129	51	531	25.6	1000	10				1.9				95.6	128.5		2016-03-01/Datasheet Import
B&C Speakers	12NDL76	W	Active	12	5.3	50	4.2	0.21	0.2	3.97	53	0.191	73	522	20.1	400	6.5				1				100.2	76.23		2016-03-01/Datasheet Import
B&C Speakers	12NDL88	W	Active	12	5	51	5	0.29	0.27	4.59	71	0.136	52	522	19.9	700	8				1.3				97.8	79.2		2016-03-01/Datasheet Import
B&C Speakers	12NW100	W	Active	12	5.1	42	3.6	0.21	0.2	9.48	119	0.111	44	531	28	1000	9				1.9				95.9	153.73		2016-03-01/Datasheet Import
B&C Speakers	12NW76	W	Active	12	5.3	40	3.7	0.17	0.16	5.4	77	0.199	76	522	25.5	500	8				1.25				98.4	122.69		2016-03-01/Datasheet Import
B&C Speakers	12PE32	W	Active	12	5.8	51	7.6	0.19	0.18	1.56	37	0.264	101	522	19.1	250	2.8				1.2				101.9	62.9		2016-03-01/Datasheet Import
B&C Speakers	12PLB100	W	Active	12	5.1	50	9.2	0.38	0.37	2.91	77	0.119	47	531	18.4	600	9				1.6				95.8	66.38		2016-03-01/Datasheet Import
B&C Speakers	12PLB76	W	Active	12	5	50	5.3	0.24	0.23	3.06	51	0.196	75	522	18.6	350	5				1.2				100	69.19		2016-03-01/Datasheet Import
B&C Speakers	12PS100	W	Active	12	5.3	44	3.9	0.29	0.27	7.79	106	0.119	47	531	22.5	700	8				2				95.2	95.52		2016-03-01/Datasheet Import
B&C Speakers	12TBX100	W	Active	12	5.1	42	6.9	0.27	0.26	5.78	119	0.095	37.5	531	25.5	1000	9				1.6				94.1	127.5		2016-03-01/Datasheet Import
B&C Speakers	14NDL76	W	Active	14	5	41	8.2	0.31	0.3	2.71	85	0.175	123	707	19	500	8				1.1				98.4	72.2		2016-03-01/Datasheet Import
B&C Speakers	14NDL88	W	Active	14	5	45	7.8	0.31	0.3	3.13	86	0.145	102	707	19.9	700	8				1.2				98.8	79.2		2016-03-01/Datasheet Import
B&C Speakers	15BG100	W	Active	15	5.1	36	5	0.49	0.44	10.92	240	0.081	83	855	23	1000	10.5				1.6				92.9	103.73		2016-03-01/Datasheet Import
B&C Speakers	15CL76	W	Active	15	5.1	42	7.9	0.34	0.33	3.63	108	0.132	135	855	21	400	7				1.3				98.6	86.47		2016-03-01/Datasheet Import
B&C Speakers	15CXN76	W	Active	15	5.1	38	5.8	0.3	0.28	3.032	82	0.2382	246	855	17.8	400	4.5	0			0.9				100.5	62.13		2022-11-08/Janne Panu
B&C Speakers	15CXN88	C	Active	15	5	40	10.3	0.26	0.25	2.242	93	0.1723	178	855	21.2	500	9.5	0			1.05				100.5	89.89		2022-11-08/Janne Panu
B&C Speakers	15FW76	W	Active	15	5.1	40	5.1	0.22	0.21	5.78	117	0.135	138	855	26.2	500	7				1.4				100	134.6		2016-03-01/Datasheet Import
B&C Speakers	15FW88	W	Active	15	5.2	49	9.3	0.45	0.43	3.479	106.8	0.1004	103.7	855	19.27	700	8	0			0.81				98.2	71.41		2023-06-17/Kimmo Saunisto
B&C Speakers	15NA100	W	Active	15	5.1	47	6.1	0.29	0.28	6.45	136	0.086	88	855	26.3	800	10				1.2				98.9	135.63		2016-03-01/Datasheet Import
B&C Speakers	15NBX100	W	Active	15	5.1	36	4.2	0.31	0.29	8.63	151	0.122	125	855	25	1000	10				2				96.7	122.55		2016-03-01/Datasheet Import
B&C Speakers	15NDL76	W	Active	15	5.3	37	4.5	0.24	0.22	5.03	96	0.19	195	855	22.5	500	7				1.5				99.9	95.52		2016-03-01/Datasheet Import
B&C Speakers	15NDL88	W	Active	15	5	45	6.1	0.36	0.34	4.71	102	0.123	126	855	20.1	700	8				1.25				99.1	80.8		2016-03-01/Datasheet Import
B&C Speakers	15NW100	W	Active	15	5.1	33	4.3	0.23	0.22	8.25	173	0.136	139	855	28	1000	9				1.9				97.3	153.73		2016-03-01/Datasheet Import
B&C Speakers	15NW76	W	Active	15	5.3	42	4.3	0.23	0.22	6.94	104	0.127	130	855	25.5	600	8				1.25				100	122.69		2016-03-01/Datasheet Import
B&C Speakers	15PLB76	W	Active	15	5	42	5.9	0.26	0.25	4.01	88	0.16	164	855	22.1	400	5				1.3				100.7	97.68		2016-03-01/Datasheet Import
B&C Speakers	15PS100	W	Active	15	5.3	33	4.8	0.33	0.31	6.79	145	0.148	152	855	22.5	700	8				2.1				96	95.52		2016-03-01/Datasheet Import
B&C Speakers	15PZB100	W	Active	15	5.2	39	6.5	0.3	0.29	5.87	154	0.107	110	855	25.8	700	8				2				97.2	128.01		2016-03-01/Datasheet Import
B&C Speakers	15SW100	W	Active	15	5.4	37	4.8	0.34	0.31	8.38	176	0.107	110	855	25.6	1500	12.5				2.2				95.9	121.36		2016-03-01/Datasheet Import
B&C Speakers	15SW115	W	Active	15	5.2	35	4.4	0.25	0.24	9.66	200	0.107	110	855	30	1700	13.5				1.8				96.6	173.08		2016-03-01/Datasheet Import
B&C Speakers	15TBW100	W	Active	15	5.3	39	4.4	0.33	0.31	9.87	181	0.094	96	855	26.4	1500	12				2.2				96.2	131.5		2016-03-01/Datasheet Import
B&C Speakers	15TBX100	W	Active	15	5.1	35	5.2	0.3	0.28	7.95	163	0.11	113	855	25.5	1000	9				1.6				96	127.5		2016-03-01/Datasheet Import
B&C Speakers	18IPAL	W	Active	18	1.3	32	4.2	0.14	0.14	14.8	330	0.08	164	1210	24.5	1700	20				0.65				105.7	461.73		2016-03-01/Datasheet Import
B&C Speakers	18NBX100	W	Active	18	5.2	35	5.6	0.4	0.38	8.46	217	0.096	198	1210	24.8	1200	10				1.85				97.1	118.28		2016-03-01/Datasheet Import
B&C Speakers	18NW100	W	Active	18	5.1	31	4.2	0.27	0.26	9.79	211	0.12	252	1210	28	1200	9				1.7				98.4	153.73		2016-03-01/Datasheet Import
B&C Speakers	18PS100	W	Active	18	5.3	30	4.6	0.41	0.39	9.69	202	0.119	245	1210	22.5	700	8				2.1				95.9	95.52		2016-03-01/Datasheet Import
B&C Speakers	18PZB100	W	Active	18	5.3	30	8.8	0.25	0.24	3.65	170	0.165	297	1134	26	700	8				2.1				98.8	127.55		2016-03-01/Datasheet Import
B&C Speakers	18RBX100	W	Active	18	5.1	35	7.3	0.36	0.34	5.93	199	0.105	220	1225	25.1	1000	10				1.5				98.1	123.53		2016-03-01/Datasheet Import
B&C Speakers	18SW100	W	Active	18	5.3	35	5.9	0.4	0.38	8.76	234	0.088	180	1210	26.1	1500	12.5				2.2				96.6	128.53		2016-03-01/Datasheet Import
B&C Speakers	18SW115	W	Active	18	5.3	32	5.6	0.32	0.3	9.87	275	0.091	187	1210	30.3	1700	14				1.9				96.6	173.22		2016-03-01/Datasheet Import
B&C Speakers	18TBW100	W	Active	18	5.3	35	8	0.41	0.39	6.69	245	0.085	175	1210	26.4	1500	12				2.45				96.4	131.5		2016-03-01/Datasheet Import
B&C Speakers	18TBX100	W	Active	18	5.1	34	7.2	0.37	0.35	6.31	209	0.103	212	1210	25.5	1200	9				1.6				97.5	127.5		2016-03-01/Datasheet Import
B&C Speakers	21DS115	W	Active	21	5.1	30	10	0.24	0.23	7.8	407	0.068	269	1680	40.8	1700	15				4.6				98.8	326.4		2016-03-01/Datasheet Import
B&C Speakers	21IPAL	W	Active	21	0.7	37	4.9	0.22	0.21	22.51	487	0.039	155	1680	19.1	2500	22				0.5				108.1	521.16		2016-03-01/Datasheet Import
B&C Speakers	21SW115	W	Active	21	3.6	33	7.7	0.37	0.36	8.95	335	0.07	278	1680	24.8	1700	14				1.7				99.8	170.84		2016-03-01/Datasheet Import
B&C Speakers	21SW152	W	Active	21	3.3	32	7	0.31	0.3	13.93	460	0.051	200	1680	32.5	2000	15				1.5				99.1	320.08		2016-03-01/Datasheet Import
B&C Speakers	8BG51	W	Active	8	5.1	52	12.3	0.42	0.4	0.94	35	0.265	18	220	11.8	250	6.5				0.5				91.8	27.3		2016-03-01/Datasheet Import
B&C Speakers	8FG51	W	Active	8	5.1	49	9	0.34	0.32	1.22	35	0.295	20	220	12.9	250	6.5				0.5				92.4	32.63		2016-03-01/Datasheet Import
B&C Speakers	8FG64	W	Active	8	5.8	51	10.1	0.32	0.31	1.4	41	0.221	15	220	15.8	300	7				1.7				91.3	43.04		2016-03-01/Datasheet Import
B&C Speakers	8FW51	W	Active	8	5.2	74	9.3	0.21	0.21	1.31	27	0.177	12	220	17.7	200	6				0.56				97.5	60.25		2016-03-01/Datasheet Import
B&C Speakers	8FXC51	C	Active	8	4.9	69	6.3	0.36	0.34	1.565	22	0.234	16	220	11.5	500	6.5	0			0.9				95.8	26.99		2022-11-08/Janne Panu
B&C Speakers	8MBX51	W	Active	8	4.9	60	5.6	0.31	0.29	1.4	20	0.339	23	220	11.4	200	6				0.4				96.2	26.52		2016-03-01/Datasheet Import
B&C Speakers	8MDN51	W	Active	8	5.1	70	3.7	0.21	0.2	2.6	23	0.236	16	220	15.3	200	6				0.8				98.1	45.9		2016-03-01/Datasheet Import
B&C Speakers	8NDL51	W	Active	8	5.3	66	3.6	0.41	0.37	3.25	28	0.206	14	220	12.4	200	7				0.5				93.7	29.01		2016-03-01/Datasheet Import
B&C Speakers	8NDL64	W	Active	8	5.4	80	11	0.24	0.25	1.23	28	0.147	10	220	17.5	350	4.5				0.62				97	56.71		2016-03-01/Datasheet Import
B&C Speakers	8NSM64	W	Active	8	5.7	245	9.3	0.35	0.34	3.18	19	0.022	1.5	220	22	250	2				0.6				101.5	84.91		2016-03-01/Datasheet Import
B&C Speakers	8PE21	W	Active	8	5.6	87	3.8	0.2	0.19	2.52	18	0.191	13	220	16.6	200	3.5				0.5				99.9	49.21		2016-03-01/Datasheet Import
B&C Speakers	8PS21	W	Active	8	8	73	4.2	0.36	0.33	0.03	23	20.619	14	22	12.6	200	5				0.5				93.8	19.84		2016-03-01/Datasheet Import
Beyma	10B-60			10	6	31	1.53	0.46	0.35	5.9	46.34	0.57	115	380	10.9	80	4				0.9				92	19.8		
Beyma	10BR60V2	W	Active	10	6.5	31	3.29	0.55	0.47	2.89	48	0.536	108.2	380	10.6	100	6.5				1.5				90.6	17.29	07/11	2016-03-01/Datasheet Import
Beyma	10G150			10	6.8	46.2	1.63	0.28	0.24	5.7	32	0.37	75	380	15	125	2				0.8				96.9	33.09		
Beyma	10G200			10	6.3	52.4	12.63	0.33	0.32	1.2	46	0.2	40.5	380	16.95	200	3.5				0.6				95.5	45.6		
Beyma	10G40	W	Active	10	6.2	45	7.1	0.32	0.3	2.1	52	0.241	49	380	17	400	7		9	20	0.6				94.6	46.61	11/14	2016-03-01/Datasheet Import
Beyma	10LW30/N	W	Active	10	6.2	55	8.5	0.3	0.29	2.1	52	0.16	28	350	19.3	450	7		11	35	1				95	60.08	12/14	2016-03-01/Datasheet Import
Beyma	10M250			10	5.6	58	13.88	0.29	0.29	0.76	28.99	0.26	52.5	380	14.2	250	3.5				0.5				99	36.01		
Beyma	10MC500	W	Active	10	5.7	60	7.5	0.29	0.28	2.3	44	0.154	26	350	18.3	500	8				1				96.3	58.75		2016-03-01/Datasheet Import
